timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,dist
1786369227.6243656,0.68,9.019,3.828,-0.504,-0.793,0.063,93.3,15.15,80.7,57.0
1786369227.624406,0.96,9.079,3.79,-0.476,-0.667,0.095,90.9,12.3,80.55,57.0
1786369227.6244254,1.183,8.777,3.68,-0.437,-0.495,0.14,91.2,11.55,82.65,57.0
1786369227.6244426,-0.17,8.684,3.371,-0.123,-0.089,0.359,90.9,12.75,82.05,38.0
1786369227.6244621,-0.17,8.727,3.417,-0.122,-0.103,0.341,93.6,12.45,81.45,38.0
1786369227.6245003,-0.057,8.622,3.51,-0.099,-0.093,0.321,92.4,13.5,80.85,38.0
1786369227.6245167,0.56,8.605,4.298,-0.123,0.085,0.172,92.1,12.45,82.2,52.0
1786369227.6245403,0.658,8.523,4.355,-0.118,0.103,0.163,91.65,14.25,82.05,52.0
1786369227.624561,0.596,8.475,4.453,-0.136,0.102,0.145,91.95,13.05,82.65,52.0
1786369227.6245768,0.84,8.116,5.181,-0.177,0.04,0.055,93.6,12.9,80.7,42.0
1786369227.6245923,0.943,8.234,5.435,-0.171,0.013,0.102,92.85,13.65,81.0,42.0
1786369227.6246064,1.211,8.246,5.507,-0.189,0.009,0.104,92.4,12.3,81.3,42.0
1786369227.6246212,0.709,7.626,6.404,-0.604,0.169,0.098,94.2,10.05,83.1,38.0
1786369227.6246355,0.785,7.269,6.515,-0.628,0.041,0.139,94.65,9.6,83.1,43.0
1786369227.6246498,0.907,7.458,6.536,-0.703,-0.14,0.158,95.85,10.2,82.5,43.0
1786369227.6246643,1.958,7.827,7.839,-0.981,-0.196,0.367,97.95,5.7,85.35,41.0
1786369227.624679,1.834,7.728,7.958,-1.069,-0.172,0.416,96.3,4.35,85.5,50.0
1786369227.6246934,1.927,7.786,7.956,-1.181,-0.142,0.483,97.2,5.7,84.15,50.0
1786369227.624709,0.397,6.732,5.945,-1.706,0.193,0.014,102.0,-4.95,80.1,48.0
1786369227.624727,0.105,6.416,5.926,-1.706,0.324,-0.241,101.4,-5.85,79.2,53.0
1786369227.6247427,-0.247,6.397,5.734,-1.727,0.423,-0.455,102.75,-8.4,78.3,53.0
1786369227.6247578,-1.195,3.567,6.816,-0.71,0.196,-2.342,98.7,-25.05,68.4,52.0
1786369227.624772,-1.437,3.395,7.439,-0.629,0.102,-2.64,98.7,-26.55,68.4,49.0
1786369227.6247869,-0.979,2.423,7.786,-0.541,-0.016,-2.884,95.7,-30.15,67.95,49.0
1786369227.624802,-0.316,2.406,5.974,0.306,0.161,-3.25,71.55,-40.5,70.2,49.0
1786369227.624817,-0.615,2.018,6.924,0.941,0.194,-3.467,67.5,-38.85,70.35,49.0
1786369227.6248314,-1.044,2.298,6.943,1.395,-0.073,-3.556,64.65,-38.85,74.1,48.0
1786369227.6248467,0.998,5.672,9.783,-0.168,-0.579,-0.955,29.85,-12.15,86.25,76.0
1786369227.6248612,0.474,5.775,9.239,-0.538,-0.34,-0.748,30.6,-11.7,84.0,76.0
1786369227.624876,-0.072,5.715,9.093,-0.757,-0.118,-0.503,31.2,-11.85,84.6,76.0
1786369227.62489,-0.747,2.409,6.249,-2.228,0.211,-0.125,32.4,-13.8,80.55,96.0
1786369227.6249046,-0.62,1.255,5.988,-1.565,0.236,-0.263,31.95,-15.75,80.55,96.0
1786369227.6249201,-1.494,1.437,5.6,-0.709,-0.091,-0.363,33.6,-15.9,80.4,96.0
1786369227.624935,0.601,4.216,10.297,0.884,-0.213,-0.135,27.15,-8.4,78.3,91.0
1786369227.6249495,-0.11,4.202,10.003,0.717,0.028,-0.131,25.95,-8.85,79.35,91.0
1786369227.624964,-0.072,4.142,9.392,0.567,0.079,-0.082,26.7,-8.1,77.55,91.0
1786369227.6249776,-1.295,4.017,8.274,0.676,0.488,-0.448,27.15,-4.95,80.1,86.0
1786369227.6249924,-1.276,4.293,8.531,0.8,0.123,-0.384,26.25,-3.6,81.75,86.0
1786369227.6250062,-0.893,4.915,8.447,0.728,-0.094,-0.333,26.55,-2.1,82.95,86.0
1786369227.6250207,0.795,4.142,5.978,-0.296,0.722,0.038,28.65,-1.5,82.35,73.0
1786369227.6250355,1.044,3.948,6.12,-0.239,0.763,0.132,31.8,0.45,84.3,73.0
1786369227.6250496,0.436,3.754,7.556,0.202,0.614,0.166,30.3,0.15,85.8,73.0
1786369227.625064,-3.136,7.408,7.906,0.013,-0.209,0.298,29.85,2.1,87.0,105.0
1786369227.625078,-2.464,6.78,7.841,-0.286,-0.16,0.249,30.15,1.05,86.1,105.0
1786369227.625092,-2.143,6.187,8.097,-0.312,0.034,0.192,29.55,0.9,85.05,105.0
1786369227.625106,0.524,4.01,6.596,-0.693,0.631,-0.343,28.95,-0.75,85.35,103.0
1786369227.6251204,0.244,3.642,6.773,-0.532,0.718,-0.306,30.3,-1.65,85.8,103.0
1786369227.6251352,-0.294,3.591,7.132,-0.21,0.574,-0.214,30.9,-2.7,84.9,103.0
1786369227.625149,-1.721,5.025,8.818,0.217,-0.369,0.251,29.4,-3.45,86.4,95.0
1786369227.625163,-1.472,5.195,8.878,0.114,-0.482,0.262,27.75,-2.85,84.75,95.0
1786369227.6251776,-1.298,5.025,8.93,-0.03,-0.455,0.24,28.65,-3.0,83.4,95.0
1786369227.6251917,-0.802,4.511,7.944,-0.168,-0.04,-0.201,26.25,-5.85,82.2,90.0
1786369227.6252067,-0.757,4.547,7.989,-0.129,-0.054,-0.198,25.95,-4.95,84.15,90.0
1786369227.625221,-0.654,4.563,8.083,-0.091,-0.088,-0.182,25.95,-3.45,83.4,64.0
1786369227.6252353,-0.804,4.48,8.499,-0.122,-0.026,0.002,24.75,-5.85,82.5,125.0
1786369227.6252506,-1.006,4.391,8.456,-0.114,0.003,-0.001,25.2,-6.15,82.65,125.0
1786369227.6252651,-0.948,4.36,8.444,-0.105,0.026,-0.017,24.75,-5.55,84.0,98.0
1786369227.62528,-0.675,4.101,8.43,-0.071,0.072,-0.04,25.05,-6.3,82.95,87.0
1786369227.6252944,-0.74,4.166,8.523,-0.059,0.048,-0.018,23.4,-5.7,84.15,87.0
1786369227.6253085,-0.876,4.094,8.55,-0.056,0.006,0.018,25.8,-6.75,82.5,87.0
1786369227.625323,-1.051,4.123,8.566,-0.079,0.021,0.033,23.85,-6.9,82.05,80.0
1786369227.6253371,-1.058,4.135,8.574,-0.075,0.02,0.013,25.65,-6.9,83.1,80.0
1786369227.625351,-1.027,4.089,8.547,-0.036,0.04,0.002,25.65,-5.7,82.35,80.0
1786369227.6253643,-1.039,4.051,8.545,-0.016,0.012,-0.009,24.3,-8.7,83.25,77.0
1786369227.62538,-0.864,4.12,8.559,-0.003,-0.002,-0.004,24.75,-7.05,83.7,77.0
1786369227.625394,-0.828,4.142,8.576,-0.001,0.013,-0.009,25.05,-6.75,82.2,65.0
1786369227.6254084,-1.01,4.061,8.519,-0.013,0.029,0.003,25.65,-6.9,82.65,79.0
1786369227.6254222,-0.979,4.015,8.55,-0.003,0.033,0.004,25.05,-7.5,82.95,79.0
1786369227.6254377,-1.058,4.089,8.595,-0.005,0.043,0.006,24.75,-7.8,81.0,79.0
1786369227.6254513,-0.974,4.192,8.602,-0.002,0.012,0.019,25.5,-7.5,82.5,73.0
1786369227.625465,-1.022,4.149,8.641,-0.011,0.011,0.012,25.05,-7.8,83.25,73.0
1786369227.6254904,-0.974,4.156,8.528,-0.014,0.012,0.007,24.0,-8.25,83.25,73.0
1786369227.6255043,-0.979,4.13,8.504,0.017,-0.024,-0.016,24.75,-7.5,84.75,72.0
1786369227.6255186,-0.929,4.123,8.452,0.03,-0.033,-0.012,26.4,-6.45,84.15,72.0
1786369227.6255324,-0.936,4.12,8.468,0.048,-0.041,-0.01,23.85,-7.65,84.15,72.0
1786369227.7569666,-0.869,4.159,8.521,-0.04,0.014,0.007,23.4,-6.45,84.6,81.0
1786369227.7570698,-0.864,4.171,8.466,-0.03,0.016,0.012,24.75,-6.75,84.0,87.0
1786369227.7570984,-0.907,4.156,8.471,-0.023,0.013,0.012,23.85,-6.9,82.05,87.0
1786369227.9622707,-0.919,4.106,8.547,-0.014,0.024,0.004,24.0,-6.3,82.2,86.0
1786369227.9623256,-1.065,4.166,8.605,-0.014,0.011,0.005,24.75,-7.5,83.25,82.0
1786369227.9623497,-1.025,4.128,8.59,-0.018,0.001,-0.01,24.15,-6.45,81.6,82.0
1786369228.1668172,-0.891,4.307,8.404,0.025,-0.022,-0.084,24.3,-5.1,84.3,86.0
1786369228.1668894,-0.876,4.345,8.394,0.034,-0.018,-0.079,24.75,-6.75,82.95,84.0
1786369228.1669579,-0.96,4.439,8.423,0.028,-0.025,-0.068,25.5,-6.75,82.5,84.0
1786369228.3716204,-0.953,4.341,8.598,-0.023,-0.042,-0.01,23.4,-5.4,83.4,83.0
1786369228.371693,-1.068,4.247,8.562,-0.025,-0.061,-0.018,24.0,-5.55,82.5,83.0
1786369228.3717303,-1.087,4.149,8.583,-0.007,-0.07,-0.049,24.0,-5.55,81.0,74.0
