timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,dist
1786377285.1316454,-1.29,1.654,9.507,-0.034,0.072,-0.006,27.45,-27.0,62.1,2033.0
1786377285.1316605,-1.219,1.63,9.507,-0.039,0.087,-0.02,27.3,-28.35,61.95,2033.0
1786377285.1316676,-1.238,1.528,9.558,-0.054,0.032,-0.032,26.55,-28.8,63.0,2046.0
1786377285.1316748,-1.312,1.65,9.471,-0.053,0.02,-0.025,28.05,-29.1,62.25,2046.0
1786377285.1316807,-1.286,1.621,9.546,-0.053,-0.01,-0.02,26.55,-27.6,60.75,2046.0
1786377285.1316864,-1.159,1.561,9.438,-0.061,0.004,0.0,28.2,-28.5,62.55,2043.0
1786377285.1316926,-1.25,1.561,9.464,-0.059,-0.003,-0.006,25.65,-28.5,60.6,2043.0
1786377285.1317012,-1.283,1.501,9.517,-0.036,-0.009,-0.009,25.95,-29.25,61.8,2043.0
1786377285.1317081,-1.219,1.365,9.634,0.207,-0.024,-0.13,26.55,-26.1,61.2,2070.0
1786377285.1317143,-1.35,1.346,9.67,0.244,-0.05,-0.164,26.55,-27.15,60.45,2070.0
1786377285.1317196,-1.353,1.492,9.56,0.259,-0.079,-0.183,25.2,-26.55,62.85,2070.0
1786377285.131725,-1.271,1.882,9.321,0.059,0.015,-0.161,24.9,-25.5,62.1,2098.0
1786377285.13173,-1.233,1.925,9.309,0.026,0.006,-0.163,24.3,-25.2,63.45,2098.0
1786377285.1317353,-1.271,2.035,9.29,-0.007,-0.004,-0.151,25.65,-25.5,62.85,2098.0
1786377285.1317406,-0.886,1.951,9.464,0.001,-0.052,0.073,24.15,-25.05,64.35,2066.0
1786377285.1317463,-0.807,1.889,9.507,-0.02,-0.024,0.073,25.05,-24.45,63.0,2079.0
1786377285.1317515,-0.876,1.82,9.38,-0.021,0.036,0.095,24.75,-26.1,63.75,2079.0
1786377285.1317565,-1.542,1.985,9.115,-0.045,0.016,0.073,25.05,-25.65,62.25,2051.0
1786377285.1317616,-1.202,1.753,8.801,-0.064,0.001,0.027,24.45,-26.25,62.85,2030.0
1786377285.1317668,-1.238,1.429,8.691,-0.059,0.065,0.004,25.05,-25.2,62.7,2030.0
1786377285.1317718,-1.671,2.279,9.706,0.127,-0.03,-0.105,24.45,-25.8,63.15,1983.0
1786377285.1317768,-1.707,2.464,9.754,0.105,-0.068,-0.121,24.15,-25.8,65.1,1994.0
1786377285.1317818,-1.587,2.619,9.783,0.065,-0.106,-0.151,25.2,-25.05,63.9,1994.0
1786377285.131787,-0.534,2.387,9.309,-0.114,-0.091,-0.015,22.5,-23.7,64.8,1989.0
1786377285.131792,-0.594,2.251,9.254,-0.103,-0.058,0.026,24.0,-24.45,63.0,1984.0
1786377285.1317973,-0.819,2.138,9.139,-0.103,-0.06,0.051,23.1,-24.3,63.15,1984.0
1786377285.1318023,-1.018,1.899,9.036,-0.026,-0.019,-0.032,23.1,-24.75,62.85,2015.0
1786377285.1318073,-1.092,1.887,9.007,0.015,-0.024,-0.049,23.25,-23.7,61.95,2015.0
1786377285.1318126,-0.958,1.99,8.99,0.049,-0.015,-0.057,23.4,-24.3,61.8,1999.0
1786377285.131818,-0.95,2.32,9.486,0.044,0.046,0.005,21.3,-24.9,64.2,2023.0
1786377285.1318228,-1.142,2.152,9.357,0.052,0.022,-0.039,23.1,-23.85,63.15,2052.0
1786377285.1318276,-1.197,2.227,9.507,0.06,-0.008,-0.04,22.35,-21.6,64.65,2052.0
1786377285.131833,-1.149,2.251,9.505,0.061,-0.023,-0.037,23.1,-23.1,65.1,2030.0
1786377285.1318395,-1.274,2.291,9.392,-0.003,-0.075,-0.028,21.9,-21.9,65.4,2037.0
1786377285.1318455,-1.053,2.198,9.378,0.007,-0.081,-0.037,21.6,-22.35,65.1,2037.0
1786377285.1318529,-1.152,2.227,9.27,0.014,-0.074,-0.038,21.6,-23.1,64.65,2037.0
1786377285.13186,-1.03,2.394,9.376,0.035,-0.019,-0.047,23.25,-21.75,65.55,2029.0
1786377285.1318672,-0.917,2.43,9.361,0.031,-0.011,-0.041,21.75,-21.75,64.5,2029.0
1786377285.1318746,-0.929,2.466,9.397,0.029,0.021,-0.031,21.75,-23.25,64.5,2029.0
1786377285.1318815,-1.039,2.397,9.225,-0.043,-0.008,0.0,21.3,-22.5,65.55,2051.0
1786377285.1318886,-0.998,2.416,9.242,-0.036,-0.003,0.004,21.75,-22.2,65.25,2051.0
1786377285.1318958,-1.006,2.38,9.246,-0.033,0.006,0.006,21.6,-21.15,64.65,2051.0
1786377285.131903,-1.051,2.411,9.357,-0.015,-0.004,0.015,22.05,-21.45,65.25,2071.0
1786377285.13191,-1.065,2.351,9.364,-0.015,-0.004,0.016,21.3,-21.75,65.25,2071.0
1786377285.1319175,-0.994,2.344,9.364,-0.014,0.011,0.014,21.9,-21.9,63.9,2071.0
1786377285.1319256,-1.065,2.255,9.225,-0.04,0.033,-0.003,21.3,-22.5,64.5,2083.0
1786377285.1319335,-1.037,2.313,9.297,-0.036,0.024,-0.01,21.75,-22.95,64.2,2083.0
1786377285.1319406,-1.104,2.282,9.254,-0.019,0.016,0.0,21.6,-22.35,65.4,2083.0
1786377285.1319456,-1.039,2.38,9.333,-0.015,0.004,0.008,21.6,-22.35,65.4,2074.0
1786377285.1319506,-1.049,2.413,9.335,-0.011,0.003,0.005,21.3,-22.95,64.8,2074.0
1786377285.1319554,-1.044,2.387,9.299,-0.019,0.004,-0.005,22.35,-21.9,65.1,2074.0
1786377285.1319606,-1.044,2.27,9.311,0.009,-0.013,0.014,23.1,-22.8,63.9,2064.0
1786377285.1319656,-1.075,2.342,9.316,0.005,-0.014,0.002,22.35,-22.8,66.6,2073.0
1786377285.1319706,-1.085,2.375,9.244,-0.03,0.005,0.007,22.35,-23.85,64.35,2084.0
1786377285.1319754,-1.013,2.373,9.206,-0.031,0.013,0.016,21.3,-23.25,65.55,2083.0
1786377285.1319811,-1.025,2.322,9.184,-0.023,0.017,0.006,22.35,-22.35,64.65,2083.0
1786377285.131986,-1.044,2.399,9.337,0.006,0.03,0.019,22.65,-21.15,63.9,2078.0
1786377285.1319911,-1.058,2.342,9.318,-0.01,0.027,0.016,22.05,-22.2,64.8,2078.0
1786377285.131996,-1.041,2.377,9.316,-0.019,0.032,0.021,21.75,-23.25,65.55,2085.0
1786377285.1320007,-1.015,2.421,9.342,-0.007,-0.007,-0.013,21.75,-22.2,66.3,2089.0
1786377285.132006,-0.924,2.409,9.347,-0.003,0.001,-0.023,21.75,-21.45,64.8,2089.0
