timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,dist
1786369549.2282014,-3.189,4.997,7.532,0.034,0.161,0.061,52.8,-25.8,91.5,68.0
1786369549.2282438,-3.249,5.021,7.585,0.015,0.188,0.06,53.25,-25.05,92.7,68.0
1786369549.228263,-3.302,4.997,7.575,0.016,0.196,0.06,53.55,-25.8,92.25,68.0
1786369549.2282796,-3.381,4.958,7.781,-0.025,-0.001,0.102,55.05,-25.5,92.25,62.0
1786369549.2282965,-3.412,4.968,7.752,-0.039,0.016,0.121,55.05,-25.05,91.95,62.0
1786369549.2283123,-3.395,4.934,7.628,-0.06,0.014,0.135,54.3,-25.8,90.45,62.0
1786369549.2283282,-3.747,4.891,7.618,-0.025,0.072,0.189,55.2,-25.2,92.4,51.0
1786369549.2283523,-3.692,4.796,7.573,-0.048,0.05,0.177,54.75,-26.55,93.45,51.0
1786369549.2283738,-3.464,4.673,7.578,-0.034,0.036,0.171,54.15,-26.85,91.05,51.0
1786369549.2283902,-3.132,4.858,7.829,0.203,-0.094,0.334,55.05,-25.8,91.5,62.0
1786369549.2284052,-3.745,5.89,8.274,0.264,-0.163,0.335,55.65,-26.4,92.1,62.0
1786369549.2284198,-3.335,6.148,8.09,0.199,-0.217,0.275,55.8,-26.55,91.2,62.0
1786369549.228434,-2.207,5.418,7.013,0.095,-0.186,0.31,55.8,-25.05,93.45,60.0
1786369549.228449,-2.198,5.586,7.195,0.12,-0.138,0.348,57.15,-26.85,90.6,60.0
1786369549.228464,-2.26,5.854,7.254,0.107,-0.024,0.36,55.95,-25.2,90.6,60.0
1786369549.2284958,-2.076,5.804,6.876,0.066,0.087,0.177,59.85,-25.5,93.0,55.0
1786369549.2285101,-1.884,5.875,6.917,0.09,0.081,0.135,57.45,-24.15,92.1,55.0
1786369549.2285244,-1.81,5.902,6.996,0.088,0.111,0.142,58.95,-24.9,93.6,55.0
1786369549.2285392,-1.954,6.029,7.108,0.136,0.121,0.183,60.45,-23.25,93.9,60.0
1786369549.228554,-1.942,5.954,7.199,0.14,0.081,0.18,59.85,-25.05,94.2,60.0
1786369549.2285683,-1.97,6.026,7.309,0.155,0.053,0.172,59.85,-23.1,94.2,60.0
1786369549.2285833,-2.035,6.177,6.891,-0.048,0.048,0.08,61.05,-22.35,94.2,58.0
1786369549.2285976,-2.054,6.105,6.768,-0.039,0.012,0.051,61.95,-21.75,95.1,57.0
1786369549.2286115,-1.523,6.036,6.759,0.104,-0.044,-0.167,61.8,-23.55,93.75,55.0
1786369549.228627,-1.463,6.036,6.883,0.095,-0.062,-0.189,60.9,-22.95,93.6,55.0
1786369549.2286408,-1.401,5.997,6.919,0.109,-0.061,-0.216,62.1,-22.35,94.8,54.0
1786369549.2286582,-1.676,6.256,7.309,-0.122,-0.107,-0.339,59.4,-23.25,94.65,64.0
1786369549.2286732,-1.841,6.132,7.192,-0.154,-0.1,-0.357,58.5,-23.55,93.75,64.0
1786369549.2286882,-1.999,6.084,7.223,-0.15,-0.125,-0.369,58.65,-22.5,94.35,55.0
1786369549.2287035,-2.164,6.455,7.453,-0.13,-0.291,-0.278,55.8,-23.85,94.2,58.0
1786369549.228718,-2.112,6.179,7.345,-0.167,-0.22,-0.264,54.15,-22.95,93.6,58.0
1786369549.228732,-1.975,5.823,7.058,-0.187,-0.141,-0.267,53.7,-24.15,92.85,48.0
1786369549.2287474,-2.653,5.691,7.242,-0.158,0.106,-0.132,53.1,-26.1,91.35,52.0
1786369549.2287614,-2.653,5.442,7.235,-0.177,0.173,-0.109,52.8,-26.25,91.95,52.0
1786369549.2287757,-2.713,5.31,7.106,-0.137,0.198,-0.111,54.45,-26.4,90.3,58.0
1786369549.2287896,-3.218,5.303,7.542,0.032,0.137,-0.11,53.7,-27.6,89.85,59.0
1786369549.2288039,-3.187,5.2,7.58,0.017,0.12,-0.114,53.7,-26.85,91.05,59.0
1786369549.228818,-3.225,5.164,7.484,0.013,0.095,-0.102,54.75,-27.75,91.2,59.0
1786369549.2288322,-3.112,5.394,7.475,-0.055,-0.02,-0.047,53.4,-26.1,89.85,60.0
1786369549.2288465,-3.103,5.409,7.36,-0.07,0.012,-0.028,53.55,-27.0,89.7,60.0
1786369549.2288635,-3.048,5.334,7.305,-0.078,0.03,-0.026,53.1,-25.65,90.3,60.0
1786369549.2288775,-2.914,5.435,7.412,-0.02,0.0,-0.006,52.35,-27.9,89.1,69.0
1786369549.2288916,-2.875,5.389,7.434,-0.026,0.015,-0.009,53.55,-27.0,88.95,69.0
1786369549.2289052,-2.921,5.389,7.472,-0.04,0.013,-0.005,53.4,-26.4,91.05,69.0
1786369549.228919,-2.844,5.406,7.355,-0.042,-0.019,0.044,53.1,-26.1,88.35,54.0
1786369549.228934,-2.758,5.442,7.309,-0.03,-0.024,0.042,54.15,-27.15,89.55,61.0
1786369549.228948,-2.705,5.416,7.233,-0.034,-0.029,0.04,54.15,-27.15,90.3,61.0
1786369549.2289624,-2.571,5.428,7.472,-0.071,0.019,0.071,52.35,-26.85,89.55,53.0
1786369549.2289765,-2.547,5.492,7.501,-0.08,0.035,0.071,52.65,-28.35,88.05,72.0
1786369549.2289903,-2.562,5.397,7.393,-0.087,0.04,0.082,53.25,-26.25,88.95,72.0
1786369549.2290041,-2.55,5.337,7.448,-0.057,0.019,0.045,54.15,-28.8,88.35,69.0
1786369549.2290208,-2.679,5.351,7.424,-0.039,0.012,0.045,52.65,-27.15,89.1,54.0
1786369549.2290356,-2.545,5.318,7.465,-0.027,-0.008,0.046,54.45,-26.85,89.55,54.0
1786369549.2290506,-2.411,5.382,7.501,-0.009,-0.017,0.038,53.7,-28.35,87.75,60.0
1786369549.2290647,-2.377,5.444,7.491,-0.017,0.008,0.046,53.4,-28.35,87.75,62.0
1786369549.2290792,-2.437,5.468,7.465,-0.025,0.043,0.039,53.7,-27.6,88.35,62.0
1786369549.2290926,-2.356,5.294,7.487,-0.026,-0.018,0.005,53.4,-28.35,90.3,58.0
1786369549.229106,-2.382,5.279,7.472,-0.001,0.001,0.004,52.65,-27.9,88.8,58.0
1786369549.2291203,-2.44,5.274,7.496,0.013,-0.011,0.012,52.8,-27.45,88.2,58.0
1786369549.229134,-2.476,5.349,7.537,-0.003,-0.032,0.0,51.75,-27.0,88.2,57.0
1786369549.2291477,-2.44,5.387,7.563,-0.01,-0.023,0.001,53.1,-28.35,87.0,58.0
1786369549.229161,-2.416,5.504,7.525,-0.029,-0.012,0.003,53.4,-26.85,88.8,58.0
1786369549.2291749,-2.243,5.528,7.427,-0.028,0.048,0.047,54.75,-28.5,89.4,63.0
1786369549.2291887,-2.301,5.49,7.319,-0.011,0.049,0.052,54.0,-27.0,88.65,63.0
1786369549.2292037,-2.306,5.49,7.379,0.003,0.026,0.061,54.15,-27.6,88.8,67.0
1786369549.2292175,-2.358,5.428,7.539,0.028,0.009,0.058,54.0,-27.75,88.2,56.0
1786369549.229231,-2.327,5.442,7.602,0.006,0.028,0.056,54.0,-27.75,88.2,56.0
1786369549.229245,-2.327,5.428,7.669,0.0,0.04,0.063,54.15,-27.9,89.1,65.0
1786369549.2292583,-2.298,5.332,7.362,-0.026,0.077,0.066,55.8,-27.45,87.45,62.0
1786369549.2292721,-2.442,5.43,7.286,-0.014,0.052,0.062,55.05,-27.75,88.2,62.0
1786369549.2292857,-2.358,5.425,7.372,-0.001,0.041,0.064,55.8,-28.5,88.95,62.0
1786369549.2292995,-2.461,5.423,7.496,-0.003,0.034,0.031,55.5,-26.25,88.95,63.0
1786369549.2293134,-2.387,5.425,7.539,-0.007,0.007,0.024,55.8,-26.55,88.65,63.0
1786369549.229327,-2.389,5.406,7.491,-0.021,0.001,0.021,55.5,-28.95,89.4,63.0
1786369549.22934,-2.253,5.409,7.439,-0.024,0.024,0.013,55.8,-27.45,89.4,63.0
1786369549.2293537,-2.296,5.387,7.513,-0.021,0.037,0.005,55.2,-29.85,87.75,63.0
1786369549.229368,-2.509,5.392,7.487,-0.009,0.024,-0.005,55.8,-27.75,88.95,62.0
1786369549.2293818,-2.66,5.16,7.475,-0.039,-0.059,-0.19,53.4,-27.15,87.75,65.0
1786369549.2293954,-2.65,5.164,7.408,-0.024,-0.088,-0.214,54.45,-27.9,89.1,65.0
1786369549.229409,-2.607,5.167,7.456,-0.026,-0.104,-0.231,54.45,-29.1,88.35,65.0
1786369549.229423,-2.523,5.162,7.554,0.03,-0.107,-0.265,51.75,-26.55,88.95,60.0
1786369549.229437,-2.583,5.243,7.52,0.039,-0.089,-0.251,52.35,-28.35,88.35,60.0
1786369549.229451,-2.533,5.069,7.491,0.061,-0.086,-0.229,52.05,-27.75,89.4,60.0
1786369549.2294648,-2.6,5.428,7.683,0.069,-0.11,-0.179,50.55,-26.25,88.2,68.0
1786369549.2294958,-2.725,5.564,7.666,0.052,-0.135,-0.164,49.65,-24.9,88.05,69.0
1786369549.2295113,-2.631,5.454,7.673,0.023,-0.141,-0.154,49.8,-27.0,88.95,69.0
1786369549.229525,-2.655,5.476,7.638,0.013,-0.149,-0.057,47.7,-25.05,89.7,58.0
1786369549.2295382,-2.598,5.523,7.755,0.002,-0.138,-0.061,49.5,-25.05,88.95,61.0
1786369549.229552,-2.512,5.42,7.705,-0.021,-0.116,-0.049,48.15,-25.65,89.85,61.0
1786369549.2295668,-2.5,5.097,7.628,-0.101,-0.075,-0.086,47.4,-24.9,90.3,52.0
1786369549.2295809,-2.516,4.975,7.63,-0.084,-0.062,-0.085,48.6,-25.65,88.05,52.0
1786369549.2295947,-2.624,4.908,7.76,-0.047,-0.095,-0.093,47.4,-27.15,87.75,54.0
1786369549.2296278,-1.554,5.918,7.441,-0.125,-0.059,-0.052,43.95,-25.05,89.4,55.0
1786369549.2296429,-1.29,5.641,7.271,-0.137,-0.003,-0.023,45.9,-24.15,86.55,55.0
1786369549.2296572,-1.362,5.619,7.072,-0.124,0.033,-0.001,44.4,-24.45,88.35,58.0
1786369549.229671,-1.334,5.294,7.341,-0.037,0.192,0.276,46.5,-24.75,86.7,69.0
1786369549.2296848,-1.444,5.243,7.415,-0.038,0.239,0.279,45.6,-26.1,87.75,69.0
1786369549.2296987,-1.693,5.181,7.331,-0.052,0.266,0.271,47.25,-24.75,87.45,69.0
1786369549.2297125,-1.992,5.746,7.973,-0.02,0.366,0.163,47.1,-26.1,88.05,59.0
1786369549.2297256,-1.978,5.739,8.059,-0.118,0.468,0.156,47.7,-25.05,89.7,59.0
1786369549.229794,-1.887,5.727,7.994,-0.186,0.502,0.163,50.55,-27.0,88.95,59.0
1786369549.2298088,-2.234,5.009,7.932,-0.142,0.319,0.134,52.05,-27.75,89.4,70.0
1786369549.2298243,-2.179,4.963,7.944,-0.125,0.293,0.113,52.05,-27.75,89.4,70.0
1786369549.2298381,-2.301,4.942,7.932,-0.109,0.287,0.085,51.9,-28.8,88.05,70.0
1786369549.229852,-3.017,4.956,8.164,0.024,0.06,-0.099,53.55,-27.45,88.65,44.0
1786369549.229866,-3.033,4.796,8.059,-0.001,0.055,-0.126,54.45,-29.1,87.75,44.0
1786369549.2298803,-3.06,4.695,7.997,-0.008,0.016,-0.134,52.8,-30.15,88.2,44.0
1786369549.2298944,-3.558,4.669,7.819,-0.007,-0.045,0.066,51.9,-30.6,87.75,60.0
1786369549.2299082,-3.462,4.707,7.786,-0.039,-0.021,0.084,51.9,-30.3,88.35,60.0
1786369549.2299223,-3.364,4.657,7.678,-0.125,0.067,0.09,53.1,-29.55,85.8,60.0
1786369549.2299361,-3.194,4.937,7.738,-0.088,0.1,0.261,53.7,-32.25,87.0,62.0
1786369549.2299502,-3.05,4.949,7.743,-0.067,0.117,0.28,53.7,-31.05,88.05,62.0
1786369549.2299638,-3.206,5.066,7.748,-0.054,0.101,0.281,54.45,-30.6,84.75,62.0
1786369549.2299778,-2.677,5.085,7.573,-0.022,0.169,0.193,56.7,-31.8,84.75,66.0
1786369549.2299917,-2.478,5.059,7.489,-0.003,0.152,0.193,56.25,-31.2,85.35,66.0
1786369549.2300053,-2.418,5.09,7.456,0.015,0.144,0.204,56.55,-31.95,86.1,66.0
