timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,dist
1786377786.552083,-9.816,2.492,-1.937,-0.363,-0.109,-0.067,71.1,-43.65,34.5,63.0
1786377786.5520988,-9.512,2.33,-1.906,-0.394,-0.089,-0.103,70.35,-46.35,34.5,63.0
1786377786.552106,-9.424,2.31,-1.985,-0.39,0.012,-0.188,71.1,-44.85,33.0,63.0
1786377786.5521119,-8.406,1.274,-1.384,-0.019,0.016,-0.296,67.8,-45.6,30.9,61.0
1786377786.5521193,-8.756,1.14,-1.207,0.036,0.11,-0.239,66.45,-45.0,31.05,61.0
1786377786.5521262,-8.823,0.989,-1.065,0.111,0.126,-0.142,66.75,-46.95,31.35,61.0
1786377786.5521326,-10.309,0.467,-1.47,0.649,-0.495,0.444,68.1,-43.65,32.25,66.0
1786377786.5521424,-10.218,0.206,-1.147,0.706,-0.605,0.452,70.5,-45.0,35.4,148.0
1786377786.552149,-10.515,0.062,-0.658,0.803,-0.675,0.438,69.75,-44.55,34.65,148.0
1786377786.5521555,-9.914,1.338,-1.137,0.357,0.063,-0.034,73.65,-42.45,39.6,1137.0
1786377786.5521612,-9.735,1.417,-1.159,0.267,-0.001,-0.044,70.35,-42.9,40.05,1274.0
1786377786.552167,-9.589,1.338,-1.097,0.206,-0.07,-0.06,70.35,-43.65,41.55,1274.0
1786377786.5521727,-9.665,1.369,-0.661,0.043,-0.105,0.046,71.25,-42.3,44.7,1275.0
1786377786.552178,-9.706,1.525,-0.747,0.069,-0.119,0.07,71.85,-43.2,43.65,1275.0
1786377786.5521836,-9.304,1.559,-1.166,-0.481,0.219,-0.15,70.8,-45.6,43.05,257.0
1786377786.5521889,-9.409,1.468,-1.305,-0.42,0.314,-0.117,71.7,-44.25,41.7,257.0
1786377786.5521944,-9.981,1.592,-1.439,-0.325,0.314,-0.065,70.5,-43.8,42.0,257.0
1786377786.5521996,-9.524,1.446,-1.283,0.07,-0.125,0.047,70.35,-44.85,39.6,177.0
1786377786.5522053,-9.515,1.465,-1.199,0.089,-0.064,0.043,71.85,-43.95,39.3,177.0
1786377786.552211,-9.548,1.525,-1.271,0.086,0.009,0.036,70.05,-45.9,40.05,177.0
1786377786.552216,-9.517,1.358,-1.12,-0.119,0.112,-0.13,70.95,-43.8,39.15,174.0
1786377786.5522215,-9.457,1.188,-1.051,-0.085,0.159,-0.135,69.6,-44.85,40.35,174.0
1786377786.552227,-9.61,1.298,-1.12,-0.071,0.153,-0.101,70.35,-44.85,40.35,174.0
1786377786.5522323,-9.594,1.221,-1.07,0.019,0.099,-0.034,70.05,-45.6,39.6,169.0
1786377786.5522375,-9.574,1.144,-0.989,0.026,0.095,-0.01,70.05,-44.85,39.6,169.0
1786377786.5522473,-9.586,1.013,-0.958,0.022,0.077,-0.005,69.75,-43.05,39.9,169.0
1786377786.5522525,-9.663,1.037,-1.343,0.044,-0.044,0.243,70.95,-45.0,40.2,176.0
1786377786.552258,-9.931,1.144,-1.516,0.084,-0.127,0.259,71.55,-43.65,40.35,176.0
