timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,dist
1787131453.9528048,-3.39,4.166,9.522,0.263,-0.049,-0.066,-5.85,-24.75,-26.1,739.0
1787131453.9528203,-3.06,3.977,9.488,0.188,0.028,-0.062,-7.05,-23.1,-25.65,739.0
1787131453.9528272,-3.287,4.156,9.431,0.111,0.024,-0.063,-5.7,-23.25,-25.2,805.0
1787131453.9528344,-3.179,3.505,8.461,-0.146,0.001,0.011,-8.55,-24.3,-26.4,774.0
1787131453.9528408,-3.211,3.383,8.425,-0.143,-0.042,0.028,-8.85,-23.1,-26.4,774.0
1787131453.9528463,-3.079,3.383,8.365,-0.132,-0.046,0.033,-8.55,-23.55,-26.1,812.0
1787131453.9528565,-3.29,3.326,8.282,-0.143,0.042,-0.022,-8.1,-24.75,-27.15,778.0
1787131453.952866,-3.361,3.282,8.344,-0.128,0.063,-0.043,-7.35,-25.05,-28.2,778.0
1787131453.9528728,-3.354,3.223,8.308,-0.111,0.066,-0.037,-7.95,-24.45,-26.25,764.0
1787131453.952879,-3.383,2.931,8.48,-0.039,0.05,-0.038,-7.35,-25.5,-28.2,772.0
1787131453.9528847,-3.519,3.012,8.521,-0.027,0.024,-0.029,-8.1,-25.8,-27.45,772.0
1787131453.9528904,-3.57,3.074,8.547,-0.034,-0.001,-0.028,-7.5,-25.2,-28.05,772.0
1787131453.9528956,-3.335,2.94,8.408,-0.031,0.039,-0.027,-8.55,-25.8,-28.2,739.0
1787131453.952901,-3.357,3.038,8.511,-0.033,0.035,-0.027,-7.05,-26.25,-30.15,739.0
1787131453.9529061,-3.349,3.05,8.418,-0.031,0.024,-0.028,-8.25,-25.2,-28.8,739.0
1787131453.9529116,-3.457,3.045,8.507,-0.031,0.002,0.01,-6.75,-25.65,-28.8,740.0
1787131453.9529173,-3.45,2.983,8.514,-0.031,-0.012,0.006,-9.75,-24.9,-27.75,740.0
1787131453.9529226,-3.484,2.964,8.461,-0.027,-0.01,0.013,-8.1,-26.25,-27.9,740.0
1787131453.952928,-3.452,2.962,8.531,-0.046,-0.007,-0.016,-8.85,-25.05,-28.95,707.0
1787131453.952933,-3.395,3.0,8.511,-0.045,-0.033,-0.015,-8.55,-25.8,-28.65,707.0
1787131453.9529386,-3.349,3.012,8.543,-0.046,-0.043,-0.003,-8.1,-26.55,-29.4,707.0
1787131453.9529438,-3.002,3.065,8.863,-0.043,-0.53,0.22,-9.0,-25.2,-27.75,754.0
1787131453.9529493,-2.71,3.306,8.83,-0.261,-0.051,-0.003,-8.7,-24.9,-28.5,924.0
1787131453.9529543,-2.66,3.189,8.645,-0.269,-0.06,0.022,-8.7,-26.1,-29.55,924.0
1787131453.9529595,-2.406,2.978,8.514,-0.247,-0.051,0.031,-8.7,-26.1,-31.8,924.0
1787131453.9529645,-2.442,2.243,8.566,-0.026,0.068,0.171,-8.1,-25.8,-33.45,980.0
1787131453.95297,-2.672,2.291,8.796,0.011,0.019,0.17,-6.0,-26.85,-33.3,937.0
1787131453.9529774,-2.634,2.31,8.873,0.004,0.001,0.162,-6.3,-27.75,-31.2,937.0
1787131453.9529824,-3.069,2.523,8.739,-0.08,0.087,-0.037,-4.65,-27.6,-32.55,873.0
1787131453.9529874,-3.115,2.674,8.703,-0.075,0.073,-0.061,-6.3,-27.75,-32.7,812.0
1787131453.9529924,-2.976,2.636,8.633,-0.066,0.062,-0.09,-6.75,-26.1,-32.55,812.0
1787131453.9529974,-2.559,2.832,8.799,0.087,0.068,-0.06,-6.6,-26.25,-32.25,865.0
1787131453.953003,-2.533,2.801,8.849,0.093,0.04,-0.033,-7.05,-27.0,-31.2,831.0
1787131453.9530094,-2.531,2.832,8.894,0.077,0.012,0.0,-8.1,-26.55,-32.7,831.0
1787131453.9530146,-2.875,2.751,8.916,-0.048,0.06,-0.014,-6.75,-26.4,-31.35,804.0
1787131453.9530194,-2.959,2.77,8.856,-0.083,0.069,-0.019,-6.75,-25.65,-33.3,799.0
1787131453.9530246,-2.916,2.717,8.77,-0.097,0.04,-0.008,-7.05,-26.55,-31.5,799.0
1787131453.9530296,-2.859,2.725,8.607,-0.003,0.015,-0.01,-7.5,-26.4,-32.55,806.0
1787131453.9530346,-2.952,2.715,8.657,0.028,0.011,0.006,-7.5,-26.4,-32.55,806.0
1787131453.95304,-3.0,2.725,8.619,0.04,0.004,0.0,-6.75,-27.6,-31.8,806.0
1787131453.953045,-2.713,2.825,8.842,-0.023,0.028,-0.044,-6.3,-25.8,-33.0,820.0
1787131453.9530501,-2.713,2.813,8.76,-0.021,0.064,-0.044,-7.8,-24.75,-31.5,820.0
1787131453.9530647,-2.878,2.856,8.794,-0.007,0.055,-0.032,-7.8,-26.25,-31.95,820.0
1787131453.95307,-3.11,2.753,8.748,-0.034,0.037,-0.009,-8.25,-26.1,-29.55,818.0
1787131453.9530747,-2.933,2.792,8.708,-0.037,0.018,-0.015,-7.5,-26.85,-33.3,793.0
1787131453.9530811,-2.995,2.72,8.712,0.003,0.021,-0.018,-6.6,-27.75,-30.45,765.0
