timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,dist
1787130735.2507956,-1.137,9.12,2.291,0.007,0.026,0.03,21.6,23.1,-36.0,295.0
1787130735.250822,-1.164,9.158,2.195,0.011,0.035,0.016,22.65,24.75,-35.55,295.0
1787130735.2508357,-1.065,9.191,2.241,0.023,0.043,0.022,21.9,24.75,-37.5,295.0
1787130735.2508473,-1.116,9.17,2.291,0.01,0.034,0.015,21.75,24.15,-36.9,295.0
1787130735.2508671,-1.154,9.151,2.322,-0.005,0.009,0.013,22.5,24.45,-37.65,295.0
1787130735.250882,-1.168,9.16,2.291,-0.012,0.01,0.012,21.0,24.45,-36.9,295.0
1787130735.2508929,-1.082,9.203,2.136,0.038,0.016,0.011,20.85,24.75,-37.05,448.0
1787130735.2509077,-1.03,9.196,2.217,0.037,0.004,0.003,21.9,25.05,-37.5,448.0
1787130735.250919,-0.948,9.239,2.155,0.023,0.016,0.009,22.05,24.9,-37.65,448.0
1787130735.2509391,-1.128,9.22,2.191,-0.005,0.031,0.011,21.9,24.75,-35.55,448.0
1787130735.2509491,-1.099,9.16,2.251,-0.006,0.03,0.005,21.15,26.55,-38.25,448.0
1787130735.2509594,-1.197,9.249,2.109,-0.011,0.019,-0.005,21.9,25.8,-37.05,448.0
1787130735.2509692,-1.046,9.124,2.181,-0.024,0.004,-0.015,21.15,25.8,-36.75,448.0
1787130735.2509787,-0.982,9.117,2.121,-0.021,0.015,-0.011,22.65,25.05,-36.0,448.0
1787130735.250993,-1.025,9.091,2.124,-0.022,0.014,-0.004,22.65,25.05,-36.0,448.0
1787130735.251002,-1.161,9.143,2.143,-0.006,0.016,0.003,20.1,25.5,-36.75,448.0
1787130735.2510118,-1.113,9.17,2.1,-0.03,0.016,0.002,21.6,25.5,-37.8,448.0
1787130735.2510211,-1.082,9.151,2.126,-0.031,0.001,-0.002,22.05,25.2,-37.65,448.0
1787130735.2510307,-1.013,9.141,2.102,-0.029,0.004,-0.002,21.0,26.1,-37.2,448.0
1787130735.2510402,-1.018,9.218,2.167,-0.012,0.021,-0.007,22.65,24.75,-37.8,448.0
1787130735.2510495,-1.046,9.213,2.145,-0.018,0.028,-0.009,22.35,24.3,-37.05,448.0
1787130735.251059,-1.075,9.148,2.095,-0.012,0.013,0.006,22.35,24.75,-38.25,448.0
1787130735.251068,-1.077,9.115,2.059,-0.026,0.007,-0.003,21.6,25.05,-37.5,448.0
1787130735.2510777,-1.08,9.155,2.102,-0.01,0.011,-0.01,21.75,25.65,-36.6,448.0
1787130735.2510872,-1.061,9.187,2.097,0.007,0.007,0.004,21.9,25.05,-38.25,448.0
1787130735.251096,-1.101,9.206,2.14,-0.024,0.02,-0.01,21.0,25.65,-36.6,448.0
1787130735.2511055,-1.075,9.237,2.095,-0.022,0.024,-0.008,21.3,25.2,-37.95,448.0
1787130735.2511148,-0.96,9.239,2.138,-0.029,0.035,-0.011,21.9,25.05,-37.8,448.0
1787130735.251124,-1.125,9.196,2.014,-0.011,0.015,-0.006,21.9,25.5,-38.25,448.0
1787130735.251133,-1.065,9.232,2.054,-0.011,0.01,-0.007,22.8,25.65,-36.9,448.0
1787130735.2511425,-1.03,9.206,2.081,-0.008,0.011,-0.009,22.05,24.9,-37.65,448.0
1787130735.2511516,-1.051,9.163,1.99,0.007,0.002,0.023,21.9,23.85,-39.3,448.0
1787130735.251161,-1.085,9.167,2.078,0.004,-0.002,0.021,20.55,25.2,-37.65,448.0
1787130735.2511704,-1.14,9.199,2.052,0.003,0.004,0.019,22.8,26.1,-37.2,448.0
1787130735.2511795,-1.068,9.234,2.049,0.009,-0.017,-0.003,22.5,24.45,-36.6,448.0
1787130735.251189,-1.058,9.165,2.035,0.0,-0.013,-0.004,22.5,24.45,-36.6,448.0
1787130735.2511985,-1.068,9.23,2.009,0.006,-0.016,-0.004,22.35,24.75,-37.05,448.0
1787130735.2512078,-1.173,9.261,2.064,0.019,-0.015,-0.068,23.4,26.55,-37.8,566.0
1787130735.2512171,-1.42,8.698,1.604,-0.038,0.094,-0.042,23.25,23.25,-37.95,566.0
1787130735.2512264,-1.334,8.686,1.626,0.046,0.009,0.013,22.8,22.2,-37.95,566.0
1787130735.2512364,-1.319,8.768,1.733,0.122,-0.087,0.072,24.15,23.1,-38.25,566.0
1787130735.2512481,-1.063,9.369,2.095,0.016,-0.107,0.03,23.1,25.8,-36.0,513.0
1787130735.2512577,-1.058,9.445,2.1,-0.018,0.03,-0.032,22.65,25.5,-36.75,536.0
1787130735.2512667,-1.252,9.347,2.112,-0.054,0.131,-0.081,22.5,24.9,-36.6,536.0
1787130735.251276,-1.492,9.153,2.152,-0.137,0.162,-0.161,23.85,24.3,-39.0,536.0
1787130735.2512853,-1.513,9.124,2.093,-0.15,0.164,-0.168,23.85,23.1,-38.25,536.0
1787130735.2512946,-1.451,9.021,2.14,-0.144,0.192,-0.178,22.8,22.95,-38.7,536.0
1787130735.2513041,-1.817,9.036,1.913,-0.005,0.274,-0.064,23.55,22.2,-40.2,536.0
1787130735.2513137,-2.085,8.976,1.982,0.038,0.16,-0.011,24.0,22.2,-40.65,536.0
1787130735.251323,-2.253,8.741,2.045,0.063,-0.007,0.064,24.3,21.45,-41.25,536.0
1787130735.2513359,-1.575,9.464,2.217,0.009,0.087,-0.125,23.25,23.7,-37.65,536.0
1787130735.2513459,-1.46,9.699,2.428,-0.02,0.198,-0.17,24.0,22.2,-38.7,536.0
1787130735.2513552,-1.338,9.713,2.473,-0.079,0.274,-0.21,24.15,21.9,-39.0,536.0
1787130735.2513645,-1.812,8.583,1.776,-0.205,0.422,-0.034,25.65,20.85,-40.05,536.0
1787130735.2513738,-2.035,8.404,1.659,-0.143,0.325,0.041,26.55,21.0,-40.65,536.0
1787130735.251384,-2.188,8.382,1.671,-0.059,0.209,0.11,25.5,21.0,-42.75,536.0
1787130735.2513936,-2.411,8.981,2.217,0.118,-0.161,0.126,25.8,21.75,-41.25,536.0
1787130735.2514029,-2.399,8.942,2.222,0.085,-0.177,0.076,25.2,21.9,-43.05,536.0
1787130735.251412,-2.373,8.988,2.207,0.067,-0.184,0.035,25.8,21.75,-40.95,536.0
1787130735.251421,-1.82,9.218,2.207,-0.079,0.096,-0.197,25.95,20.85,-41.1,536.0
1787130735.2514305,-1.92,9.258,2.219,-0.129,-0.062,-0.087,26.25,22.2,-42.0,536.0
1787130735.2514396,-1.968,8.768,2.344,-0.102,0.109,-0.01,24.45,21.6,-40.8,536.0
1787130735.2514486,-1.872,8.844,2.399,-0.106,0.12,0.004,26.25,20.25,-40.95,536.0
1787130735.251458,-1.939,8.914,2.459,-0.122,0.138,0.017,25.8,20.25,-41.25,536.0
1787130735.2514699,-2.076,8.59,2.251,-0.171,0.254,-0.139,25.8,20.25,-42.45,536.0
1787130735.2514791,-2.145,8.638,2.164,-0.147,0.329,-0.164,26.55,18.3,-41.7,536.0
1787130735.2514882,-2.313,8.631,2.143,-0.1,0.363,-0.159,25.8,19.5,-42.75,536.0
1787130735.2514975,-2.574,9.096,2.411,0.145,-0.28,0.295,26.55,20.25,-43.2,536.0
1787130735.2515063,-2.66,9.103,2.406,0.145,-0.35,0.287,28.05,19.5,-43.5,536.0
1787130735.2515156,-2.679,9.141,2.193,0.15,-0.418,0.279,27.45,20.4,-42.6,536.0
1787130735.251525,-1.836,9.45,2.512,0.066,-0.543,0.022,25.5,22.95,-40.65,536.0
1787130735.251534,-1.583,9.57,2.44,-0.005,-0.462,-0.037,24.9,23.1,-40.35,536.0
1787130735.2515433,-1.355,9.649,2.43,-0.074,-0.336,-0.103,24.3,22.2,-40.2,536.0
1787130735.2515547,-1.226,8.942,2.399,-0.092,-0.252,0.173,22.65,21.6,-36.3,536.0
1787130735.2515643,-1.209,8.887,2.337,-0.096,-0.238,0.204,22.05,23.25,-37.2,536.0
1787130735.2515738,-1.233,8.792,2.389,-0.106,-0.182,0.223,23.25,23.25,-37.95,536.0
1787130735.2515836,-1.216,8.899,2.346,-0.111,0.161,0.029,22.65,23.55,-37.8,536.0
1787130735.2515926,-1.211,8.847,2.413,-0.1,0.252,-0.004,23.55,22.5,-37.2,536.0
1787130735.251602,-1.288,8.763,2.514,-0.084,0.283,-0.021,24.15,21.9,-36.75,536.0
1787130735.251611,-1.865,9.084,2.67,0.015,0.329,-0.213,24.9,20.4,-39.6,536.0
1787130735.25162,-1.891,9.129,2.626,-0.021,0.346,-0.234,24.45,22.8,-38.55,536.0
1787130735.2516296,-1.992,9.064,2.794,-0.038,0.337,-0.259,25.2,21.6,-39.6,536.0
1787130735.251639,-2.914,9.527,3.915,-0.512,-0.913,-0.166,25.05,19.5,-38.4,536.0
1787130735.2516482,-1.932,8.973,5.531,-0.694,-0.461,-0.486,16.35,12.3,-27.15,174.0
1787130735.2516577,-2.253,9.033,5.385,-0.801,-0.414,-0.484,15.6,10.8,-24.9,174.0
1787130735.251667,-2.174,8.847,4.884,-0.923,-0.402,-0.422,14.1,10.05,-23.85,174.0
1787130735.2516763,-1.013,7.47,2.691,-1.371,0.129,-0.718,13.35,-5.7,-25.65,127.0
1787130735.2516856,-2.016,7.056,3.108,-1.285,0.211,-0.704,12.6,-6.45,-27.15,127.0
1787130735.2516954,-2.069,6.694,3.512,-1.242,0.12,-0.807,11.7,-10.5,-29.55,127.0
1787130735.251705,-3.268,6.261,6.091,-1.001,-0.311,-0.401,8.85,-19.65,-35.25,200.0
1787130735.2517142,-3.146,5.624,6.352,-0.976,-0.22,-0.434,8.85,-20.1,-36.3,200.0
1787130735.251724,-2.782,5.306,6.5,-0.905,-0.045,-0.436,7.8,-21.15,-38.25,200.0
1787130735.2517335,-5.119,1.729,8.435,-0.218,-0.094,-0.643,6.0,-25.65,-40.65,343.0
1787130735.2517426,-5.188,1.676,8.499,-0.103,-0.098,-0.708,4.95,-26.85,-42.0,343.0
1787130735.251752,-5.224,1.647,8.432,-0.035,-0.067,-0.802,5.4,-25.65,-42.45,343.0
1787130735.2517612,-4.008,1.923,8.059,0.443,-0.79,-1.318,-8.1,-27.45,-40.05,478.0
1787130735.2517707,-4.219,2.591,8.116,0.462,-1.005,-1.222,-8.25,-26.1,-39.15,478.0
1787130735.25178,-4.197,2.909,8.236,0.409,-1.231,-1.109,-9.45,-26.85,-38.4,478.0
1787130735.2517893,-2.234,3.706,7.568,0.422,-0.234,-0.775,-20.25,-22.95,-34.35,375.0
1787130735.2517986,-2.1,3.78,7.427,0.478,-0.253,-0.609,-20.85,-25.05,-34.5,375.0
1787130735.2518477,-2.413,4.125,7.417,0.49,-0.452,-0.354,-22.35,-23.55,-33.0,375.0
1787130735.251864,-3.943,3.256,7.693,-0.04,0.488,0.465,-15.9,-22.35,-30.45,660.0
1787130735.251874,-3.84,4.843,8.464,-0.038,0.208,0.063,-10.2,-19.5,-26.25,897.0
1787130735.2518835,-3.9,4.609,8.396,-0.104,0.209,0.07,-9.3,-18.9,-27.15,917.0
1787130735.2518928,-3.948,4.606,8.097,-0.093,0.164,0.093,-7.35,-20.1,-27.45,917.0
1787130735.2519026,-3.836,4.554,7.547,0.049,-0.04,0.02,-6.6,-20.85,-26.1,874.0
1787130735.2519119,-3.776,4.515,7.606,0.042,-0.003,0.031,-8.85,-19.2,-26.1,840.0
1787130735.251921,-3.733,4.317,7.532,0.029,0.006,0.023,-7.95,-19.5,-25.8,840.0
1787130735.25193,-3.864,4.353,7.721,0.158,-0.154,-0.096,-8.7,-17.85,-26.55,786.0
1787130735.2519393,-4.041,4.559,7.779,0.176,-0.205,-0.086,-8.85,-19.65,-25.65,786.0
1787130735.2519486,-3.972,4.48,7.676,0.195,-0.218,-0.064,-8.85,-18.9,-25.35,323.0
1787130735.2519586,-3.476,5.215,7.266,0.106,-0.044,0.009,-9.6,-16.95,-23.55,212.0
1787130735.251968,-3.522,5.2,7.226,0.068,-0.011,0.021,-10.5,-15.9,-24.45,212.0
1787130735.2519772,-3.78,5.301,7.269,0.042,-0.012,0.06,-11.25,-16.35,-24.0,192.0
1787130735.2519865,-3.4,4.882,7.446,-0.115,0.08,0.004,-9.45,-15.9,-24.0,183.0
1787130735.2519956,-3.591,4.848,7.568,-0.103,0.081,0.011,-10.8,-18.45,-23.55,183.0
1787130735.252005,-3.685,4.769,7.539,-0.102,0.081,0.007,-9.6,-15.75,-24.9,183.0
1787130735.2520144,-3.371,4.853,7.412,-0.001,-0.008,-0.051,-10.95,-16.8,-24.0,193.0
1787130735.2520237,-3.364,4.918,7.307,-0.009,0.012,-0.045,-10.8,-16.2,-23.55,193.0
1787130735.252033,-3.567,5.016,7.389,-0.013,0.053,-0.044,-11.1,-16.5,-23.85,193.0
1787130735.2520423,-4.01,4.755,7.558,-0.162,0.203,-0.072,-8.7,-17.55,-24.75,197.0
1787130735.2520545,-3.982,4.654,7.8,-0.077,0.199,-0.08,-9.6,-16.95,-24.6,197.0
1787130735.2520635,-4.197,4.788,8.133,-0.026,0.135,-0.106,-9.3,-17.4,-24.15,197.0
1787130735.2520728,-3.946,4.707,9.677,-1.011,-0.326,-0.215,-11.1,-18.15,-23.85,207.0
1787130735.252082,-4.69,2.231,5.102,0.358,-0.417,-0.415,-17.1,-28.5,-35.55,670.0
1787130735.2520914,-4.542,2.547,6.359,0.698,-0.465,-0.37,-18.15,-27.45,-34.5,670.0
1787130735.2521007,-4.439,3.136,7.293,1.092,-0.691,-0.3,-18.3,-27.9,-32.1,670.0
1787130735.2521124,-4.013,4.752,8.854,0.172,0.356,0.1,-17.4,-20.85,-25.35,160.0
1787130735.2521222,-3.967,4.638,8.655,0.137,0.16,0.121,-18.75,-19.5,-25.5,160.0
1787130735.2521317,-3.675,4.609,8.59,0.092,0.057,0.144,-18.0,-21.0,-24.45,160.0
1787130735.2521405,-3.575,4.329,8.188,-0.185,0.062,0.192,-16.65,-18.9,-25.35,186.0
1787130735.2521498,-3.828,4.3,8.028,-0.237,0.098,0.232,-16.35,-19.65,-26.1,186.0
1787130735.2521589,-3.716,4.058,7.865,-0.242,0.1,0.26,-15.45,-19.8,-27.75,186.0
1787130735.252168,-4.489,3.388,7.64,0.123,-0.065,0.026,-15.0,-19.8,-27.3,234.0
1787130735.2521772,-4.774,3.962,8.325,0.094,-0.118,-0.001,-13.65,-20.4,-25.35,234.0
1787130735.2521863,-4.319,4.037,8.473,0.068,-0.212,0.007,-15.9,-20.4,-25.65,234.0
1787130735.2521954,-3.56,4.539,7.503,-0.023,-0.089,0.043,-14.1,-18.15,-26.1,205.0
1787130735.2522042,-3.512,4.602,7.585,-0.042,-0.073,0.04,-15.15,-18.9,-26.1,187.0
1787130735.2522137,-3.469,4.597,7.558,-0.069,-0.044,0.031,-15.15,-20.4,-26.1,187.0
1787130735.2522233,-3.587,4.092,8.006,-0.039,0.029,-0.023,-15.45,-20.55,-27.3,207.0
1787130735.2522326,-3.632,4.135,7.954,-0.038,0.022,-0.018,-15.9,-19.2,-27.45,207.0
1787130735.2522414,-3.764,4.087,7.956,-0.011,0.013,-0.013,-15.6,-20.1,-26.4,212.0
1787130735.2522507,-3.587,4.166,7.898,0.007,0.007,-0.033,-15.15,-19.65,-26.1,201.0
1787130735.2522597,-3.754,4.202,7.913,0.015,0.0,-0.024,-16.5,-17.85,-27.3,201.0
1787130735.252269,-3.747,4.183,7.937,0.028,-0.019,-0.032,-16.2,-19.8,-25.8,203.0
1787130735.3216927,-3.369,4.391,7.784,0.045,0.04,-0.008,-17.7,-19.05,-26.55,208.0
1787130735.5284774,-3.955,4.13,7.994,0.024,0.059,-0.026,-15.75,-21.75,-26.55,185.0
1787130735.528506,-3.929,4.262,7.906,0.042,0.025,-0.02,-16.2,-19.05,-26.25,185.0
1787130735.5285177,-3.934,4.25,7.803,0.051,-0.015,-0.026,-15.45,-20.25,-25.8,185.0
1787130735.7341645,-3.8,4.413,7.657,0.032,-0.053,-0.004,-17.7,-18.3,-25.2,165.0
1787130735.7342007,-3.74,4.415,7.58,0.026,-0.059,0.014,-16.35,-18.45,-25.35,165.0
1787130735.734208,-3.62,4.403,7.57,0.021,-0.049,0.021,-16.65,-17.7,-25.35,165.0
1787130735.9381576,-3.259,4.444,7.87,0.009,0.003,0.089,-14.4,-18.15,-25.35,172.0
1787130735.9381824,-3.323,4.626,7.925,0.055,0.024,0.097,-15.0,-19.05,-25.2,172.0
1787130735.938193,-3.472,4.875,7.927,0.056,0.021,0.066,-15.45,-20.25,-25.2,172.0
1787130736.1435359,-5.322,5.071,10.001,0.32,0.541,-0.503,-14.1,-17.7,-23.55,154.0
1787130736.1435611,-6.268,5.176,10.685,0.195,0.619,-0.738,-13.5,-18.3,-24.0,154.0
1787130736.1435726,-6.838,4.975,10.69,0.014,0.635,-1.042,-13.5,-17.55,-23.25,154.0
1787130736.3478653,-5.669,0.828,7.757,-0.56,-1.896,-1.924,-26.4,-17.7,-30.15,1125.0
1787130736.3478901,-5.274,0.599,7.489,-0.545,-1.991,-1.958,-29.7,-19.2,-32.25,1125.0
1787130736.3479013,-4.317,0.33,7.058,-0.462,-1.969,-1.944,-32.55,-16.8,-33.9,1125.0
1787130736.5528824,2.184,-0.661,6.309,0.396,0.603,-1.393,-43.65,-8.7,-41.25,1433.0
1787130736.5529075,-3.311,0.522,6.139,0.962,0.469,-1.42,-42.6,-5.55,-37.95,1556.0
1787130736.5529187,-3.713,1.705,6.869,1.035,0.302,-1.455,-42.6,-3.6,-37.95,1556.0
1787130736.7575588,-7.389,4.075,4.719,1.621,0.294,-0.014,-32.4,20.1,-19.05,728.0
1787130736.757586,-5.923,4.24,4.915,1.482,-0.041,0.098,-31.35,22.5,-19.95,728.0
1787130736.7575974,-6.012,4.195,5.143,1.067,-0.425,0.218,-31.95,21.6,-19.05,728.0
1787130736.9614046,-1.798,4.046,7.707,-0.968,-1.875,0.759,-39.0,21.15,-27.45,1090.0
1787130736.96143,-1.733,3.68,6.606,-1.384,-2.346,1.03,-41.85,17.85,-31.05,1090.0
1787130737.1674721,0.424,3.601,11.528,-0.417,-0.687,0.943,-51.75,-2.25,-62.1,1959.0
1787130737.1674979,0.713,3.39,12.201,-0.55,-0.115,0.813,-51.6,-1.65,-63.45,1959.0
1787130737.1675096,0.572,3.122,12.194,-0.685,0.433,0.575,-51.3,-1.05,-63.15,1959.0
1787130737.3719208,1.08,-0.733,9.222,-0.537,0.479,-0.654,-50.85,-2.1,-63.75,1959.0
1787130737.371947,1.753,-0.376,9.28,-0.52,0.516,-0.579,-50.25,-2.25,-63.6,1959.0
1787130737.3719585,1.769,-0.141,8.916,-0.357,0.366,-0.736,-51.0,-1.5,-61.95,1959.0
1787130737.5770805,0.438,0.543,8.866,-0.17,0.3,-0.619,-51.75,-2.7,-61.8,1959.0
1787130737.5771043,1.935,2.308,8.751,-0.586,0.447,-0.576,-52.8,0.0,-62.85,1959.0
1787130737.5771124,0.63,-0.661,9.043,-0.661,0.249,-0.255,-51.6,-1.35,-63.45,1959.0
1787130737.7812257,1.769,-1.628,9.313,0.583,0.039,0.551,-53.1,-0.9,-63.45,171.0
1787130737.7812502,2.346,-1.64,9.261,0.714,0.1,0.585,-52.5,-3.45,-62.1,171.0
1787130737.7812617,2.303,-1.147,8.921,0.689,0.177,0.247,-53.25,-1.5,-63.6,171.0
1787130737.9861388,0.893,0.223,9.457,0.006,0.091,-0.274,-52.65,0.45,-56.1,1983.0
1787130737.9861634,2.777,0.871,12.359,-0.247,1.415,-0.656,-53.1,0.45,-53.85,1983.0
1787130737.9861743,-3.694,0.69,12.258,-0.175,0.551,-0.593,-53.25,1.8,-52.5,1983.0
1787130738.191414,0.622,1.039,9.488,0.354,0.106,-0.659,-55.65,3.6,-59.7,1864.0
1787130738.1914396,0.062,1.415,10.238,0.185,-0.001,-0.578,-55.05,5.7,-56.55,1864.0
1787130738.1914508,0.493,1.647,10.386,0.023,-0.203,-0.427,-55.95,4.05,-57.9,1864.0
1787130738.3958926,-0.431,0.608,9.45,-0.248,0.461,-0.252,-54.75,5.7,-60.6,1793.0
1787130738.3959181,-0.974,0.35,9.79,-0.21,0.239,-0.17,-55.2,5.55,-60.75,1793.0
1787130738.3959296,-0.941,0.397,10.254,-0.142,0.093,-0.107,-56.7,7.8,-59.4,1793.0
1787130738.6002839,1.513,-0.002,9.369,-0.27,0.197,-0.181,-55.95,6.75,-63.0,1874.0
