timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,dist
1787135105.8665261,-8.741,1.568,4.07,0.017,0.057,-0.029,91.05,-40.65,-95.4,1511.0
1787135105.866541,-8.763,1.542,4.061,0.004,0.027,-0.012,91.05,-42.3,-96.15,1511.0
1787135105.8665473,-8.605,1.58,4.101,-0.119,0.129,0.031,91.35,-41.1,-96.9,1514.0
1787135105.8665547,-8.6,1.528,4.049,-0.119,0.137,0.054,90.9,-42.45,-97.5,1514.0
1787135105.8665602,-8.59,1.432,3.962,-0.124,0.13,0.067,92.7,-42.15,-96.75,1514.0
1787135105.8665657,-9.146,1.542,3.965,-0.202,0.163,-0.076,91.2,-41.7,-98.1,1521.0
1787135105.8665712,-9.254,1.518,4.094,-0.212,0.144,-0.078,91.65,-42.9,-99.3,1521.0
1787135105.86658,-9.218,1.547,4.142,-0.255,0.093,-0.087,92.4,-42.15,-98.85,1521.0
1787135105.866587,-9.012,1.109,3.297,-0.227,0.052,-0.076,91.65,-41.7,-100.8,1521.0
1787135105.866593,-8.825,0.97,3.227,-0.217,0.011,-0.051,91.35,-40.65,-100.5,1521.0
1787135105.8665984,-8.875,0.871,3.292,-0.18,0.002,-0.028,91.2,-40.95,-101.55,1521.0
1787135105.8666039,-9.153,0.795,3.335,0.034,-0.034,0.022,90.15,-42.15,-102.15,1522.0
1787135105.8666089,-9.064,0.924,3.546,0.035,-0.005,-0.02,90.9,-41.7,-101.1,1515.0
1787135105.866614,-9.05,0.967,3.488,0.047,-0.024,-0.015,90.3,-40.65,-102.45,1515.0
1787135105.866619,-8.76,1.099,3.946,-0.009,0.032,0.005,91.2,-42.15,-101.1,1503.0
1787135105.8666244,-8.945,1.099,3.792,-0.002,0.067,0.015,91.35,-40.65,-100.95,1499.0
1787135105.8666294,-9.026,1.087,3.778,0.004,0.055,0.006,89.85,-41.85,-101.7,1499.0
1787135105.8666341,-9.215,1.147,3.414,-0.014,0.043,0.004,90.45,-41.7,-101.85,1487.0
1787135105.8666396,-9.333,1.087,3.371,0.097,0.0,-0.002,90.15,-41.25,-102.15,1498.0
1787135105.866645,-9.369,1.161,3.479,0.102,-0.012,-0.013,91.2,-42.15,-100.8,1498.0
1787135105.8666503,-9.23,1.156,3.5,0.105,-0.016,-0.037,90.9,-40.5,-100.05,1506.0
1787135105.8666556,-8.926,1.247,3.642,0.079,-0.009,-0.078,91.35,-43.05,-99.15,1503.0
1787135105.8666604,-8.708,1.178,3.697,0.086,-0.021,-0.076,89.4,-42.15,-98.1,1503.0
1787135105.8666651,-8.758,1.128,3.821,0.074,-0.019,-0.051,88.65,-40.95,-100.05,1490.0
1787135105.8666704,-9.093,1.223,3.725,0.001,-0.049,-0.015,89.55,-42.3,-97.65,1488.0
1787135105.8666756,-8.959,1.19,4.075,-0.027,-0.087,0.011,90.45,-42.9,-100.35,1488.0
1787135105.8666809,-8.945,1.137,4.178,-0.073,-0.049,0.01,90.9,-42.15,-99.6,1484.0
1787135105.8666859,-9.594,0.979,3.024,-0.269,0.055,-0.016,89.25,-42.3,-101.7,1493.0
