timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,dist
1787131908.680224,-2.116,5.748,7.286,-0.052,0.015,0.001,-15.45,-8.7,-8.55,604.0
1787131908.6802516,-2.078,5.662,7.309,-0.053,0.021,-0.004,-15.9,-9.15,-9.15,848.0
1787131908.6802704,-2.138,5.734,7.326,-0.049,0.03,-0.009,-15.15,-9.15,-10.2,848.0
1787131908.6802936,-2.205,5.732,7.4,-0.013,-0.012,0.01,-15.45,-8.7,-9.0,862.0
1787131908.6803079,-2.145,5.703,7.319,-0.016,-0.007,0.009,-15.0,-9.0,-9.3,784.0
1787131908.680318,-2.095,5.722,7.341,-0.019,-0.003,0.0,-14.1,-8.1,-8.7,784.0
1787131908.6803288,-2.004,5.756,7.338,-0.023,-0.01,-0.003,-15.45,-8.7,-9.75,821.0
1787131908.6803443,-2.023,5.653,7.283,-0.028,0.01,-0.015,-14.85,-9.6,-9.45,902.0
1787131908.680356,-2.052,5.65,7.317,-0.03,0.022,-0.015,-13.95,-9.75,-9.75,902.0
1787131908.6803663,-2.124,5.655,7.298,-0.019,-0.007,-0.001,-15.75,-9.45,-9.75,923.0
1787131908.6803768,-2.09,5.598,7.405,-0.047,0.008,-0.021,-15.15,-8.85,-9.45,1019.0
1787131908.6803865,-2.212,5.578,7.377,-0.037,0.009,-0.023,-15.45,-9.0,-10.35,1019.0
1787131908.6803963,-2.255,5.641,7.42,-0.034,-0.009,-0.017,-14.7,-9.45,-9.75,1019.0
1787131908.680406,-1.949,5.564,7.396,-0.077,-0.009,0.011,-14.7,-9.45,-9.75,1164.0
1787131908.6804154,-2.016,5.516,7.398,-0.081,0.011,0.01,-15.0,-8.25,-9.3,1164.0
1787131908.6804245,-2.136,5.612,7.52,-0.084,0.023,0.004,-15.6,-9.6,-10.2,1164.0
1787131908.680434,-2.042,5.468,7.551,-0.048,0.054,-0.024,-15.0,-10.2,-11.55,1238.0
